Package,Tests,Errors,Failures,Skipped,Success Rate,Time
claudesonnet4.ws01.seq01,10,1,3,0,60.0%,12.63 s
claudesonnet4.ws01.seq02,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws01.seq03,10,0,0,0,100%,3.105 s
claudesonnet4.ws01.seq04,15,1,5,0,60.0%,10.08 s
claudesonnet4.ws01.seq05,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws02.seq01,20,16,0,0,20.0%,165.3 s
claudesonnet4.ws02.seq02,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws02.seq03,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws02.seq04,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws02.seq05,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws03.seq01,15,2,3,0,66.7%,33.19 s
claudesonnet4.ws03.seq02,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws03.seq03,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws03.seq04,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws03.seq05,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws04.seq01,25,2,1,0,88.0%,38.90 s
claudesonnet4.ws04.seq02,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws04.seq03,20,4,3,0,65.0%,36.04 s
claudesonnet4.ws04.seq04,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws04.seq05,15,7,0,0,53.3%,39.29 s
claudesonnet4.ws05.seq01,20,11,2,0,35.0%,224.2 s
claudesonnet4.ws05.seq02,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws05.seq03,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws05.seq04,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws05.seq05,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws06.seq01,15,2,0,0,86.7%,72.24 s
claudesonnet4.ws06.seq02,30,17,0,0,43.3%,185.5 s
claudesonnet4.ws06.seq03,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws06.seq04,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws06.seq05,67,1,6,0,89.6%,246.6 s
claudesonnet4.ws07.seq01,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws07.seq02,26,17,0,0,34.6%,441.1 s
claudesonnet4.ws07.seq03,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws07.seq04,20,4,0,0,80.0%,100.8 s
claudesonnet4.ws07.seq05,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws08.seq01,26,1,3,0,84.6%,74.78 s
claudesonnet4.ws08.seq02,27,8,0,0,70.4%,71.55 s
claudesonnet4.ws08.seq03,20,1,1,0,90.0%,51.43 s
claudesonnet4.ws08.seq04,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws08.seq05,20,5,1,0,70.0%,50.77 s
claudesonnet4.ws09.seq01,18,2,1,0,83.3%,85.51 s
claudesonnet4.ws09.seq02,20,2,1,0,85.0%,23.50 s
claudesonnet4.ws09.seq03,20,5,1,0,70.0%,104.3 s
claudesonnet4.ws09.seq04,0,0,0,0,0.00%,0.0 s
claudesonnet4.ws09.seq05,20,3,0,0,85.0%,56.61 s
deepseek.ws01.seq01,5,5,0,0,0.00%,105.2 s
deepseek.ws01.seq02,6,0,2,0,66.7%,4.574 s
deepseek.ws01.seq03,5,0,3,0,40.0%,3.863 s
deepseek.ws01.seq04,14,9,5,0,0.00%,96.46 s
deepseek.ws01.seq05,5,0,1,0,80.0%,3.811 s
deepseek.ws02.seq01,5,2,0,0,60.0%,17.54 s
deepseek.ws02.seq02,34,9,10,0,44.1%,137.9 s
deepseek.ws02.seq03,33,10,8,0,45.5%,156.0 s
deepseek.ws02.seq04,9,5,0,0,44.4%,61.00 s
deepseek.ws02.seq05,19,6,1,0,63.2%,19.51 s
deepseek.ws03.seq01,15,6,4,0,33.3%,82.59 s
deepseek.ws03.seq02,23,7,2,0,60.9%,112.7 s
deepseek.ws03.seq03,12,4,2,0,50.0%,67.30 s
deepseek.ws03.seq04,1,1,0,0,0.00%,0.039 s
deepseek.ws03.seq05,16,3,3,0,62.5%,67.73 s
deepseek.ws04.seq01,6,3,1,0,33.3%,41.24 s
deepseek.ws04.seq02,1,1,0,0,0.00%,0.038 s
deepseek.ws04.seq03,8,6,1,0,12.5%,73.98 s
deepseek.ws04.seq04,1,1,0,0,0.00%,0.037 s
deepseek.ws04.seq05,7,6,1,0,0.00%,61.17 s
deepseek.ws05.seq01,10,8,1,0,10.0%,81.55 s
deepseek.ws05.seq02,19,12,2,0,26.3%,100.1 s
deepseek.ws05.seq03,10,9,1,0,0.00%,37.00 s
deepseek.ws05.seq04,1,0,1,0,0.00%,2.801 s
deepseek.ws05.seq05,18,13,1,0,22.2%,103.4 s
deepseek.ws06.seq01,12,10,1,0,8.3%,123.3 s
deepseek.ws06.seq02,9,5,2,0,22.2%,14.48 s
deepseek.ws06.seq03,16,6,1,0,56.2%,26.16 s
deepseek.ws06.seq04,12,0,1,0,91.7%,19.51 s
deepseek.ws06.seq05,8,0,1,0,87.5%,17.20 s
deepseek.ws07.seq01,7,1,6,0,0.00%,17.32 s
deepseek.ws07.seq02,10,10,0,0,0.00%,0.072 s
deepseek.ws07.seq03,7,7,0,0,0.00%,0.064 s
deepseek.ws07.seq04,24,23,1,0,0.00%,133.4 s
deepseek.ws07.seq05,6,6,0,0,0.00%,56.51 s
deepseek.ws08.seq01,5,2,0,0,60.0%,38.50 s
deepseek.ws08.seq02,7,3,1,0,42.9%,40.22 s
deepseek.ws08.seq03,6,5,0,0,16.7%,47.18 s
deepseek.ws08.seq04,4,1,3,0,0.00%,8.896 s
deepseek.ws08.seq05,17,7,2,0,47.1%,116.1 s
deepseek.ws09.seq01,14,4,2,0,57.1%,44.06 s
deepseek.ws09.seq02,8,1,2,0,62.5%,17.91 s
deepseek.ws09.seq03,15,11,4,0,0.00%,122.0 s
deepseek.ws09.seq04,9,8,1,0,0.00%,85.44 s
deepseek.ws09.seq05,2,0,2,0,0.00%,1.882 s
